Type,Aggregated category,Year,Tonnes diverted,Tonnes disposed
C&D,"Other construction waste (UBCPT, privately contracted)",2015-2016,5770,1301
Overall,Overall,2015-2016,8966.49,4488.55
Operational,"Organics - food, compostable packaging",2016-2017,798.06,50.94
Operational,Recyclable mixed paper,2016-2017,456.47,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2016-2017,239.21,0
Operational,Recyclable cardboard,2016-2017,455.75,0
Operational,"E-waste, lamps, bulbs and batteries",2016-2017,85.18,0.09
Operational,Wood waste (primarily non-construction),2016-2017,349.74,211.58
Operational,Other recyclables,2016-2017,24.69,6.03
Operational,Landscaping green waste,2016-2017,52,0
Operational,Non-recyclable,2016-2017,9.6,3187.56
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2016-2017,148.94,0
C&D,"Other construction waste (UBCPT, privately contracted)",2016-2017,2732,611
Overall,Overall,2016-2017,5351.64,4067.2
Operational,"Organics - food, compostable packaging",2017-2018,876,90
Operational,Recyclable mixed paper,2017-2018,438.1,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2017-2018,247,0
Operational,Recyclable cardboard,2017-2018,485,0
Operational,"E-waste, lamps, bulbs and batteries",2017-2018,74.48,0.13
Operational,Wood waste (primarily non-construction),2017-2018,246.13,186.97
Operational,Other recyclables,2017-2018,39.88,0
Operational,Landscaping green waste,2017-2018,785,0
Operational,Non-recyclable,2017-2018,6.5,3267.31
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2017-2018,165.43,0
C&D,"Other construction waste (UBCPT, privately contracted)",2017-2018,2861.2,377.8
Overall,Overall,2017-2018,6224.72,3922.21
Operational,"Organics - food, compostable packaging",2018-2019,600,0
Operational,Recyclable mixed paper,2018-2019,408.8,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2018-2019,272.24,0
Operational,Recyclable cardboard,2018-2019,504.95,0
Operational,"E-waste, lamps, bulbs and batteries",2018-2019,87.65,0.09
Operational,Wood waste (primarily non-construction),2018-2019,149.6,24.1
Operational,Other recyclables,2018-2019,45.03,2.69
Operational,Landscaping green waste,2018-2019,630,0
Operational,Non-recyclable,2018-2019,7.08,3431.07
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2018-2019,160.18,0
C&D,"Other construction waste (UBCPT, privately contracted)",2018-2019,1368.46,155.14
Overall,Overall,2018-2019,4234,3613.08
Operational,"Organics - food, compostable packaging",2019-2020,615,0
Operational,Recyclable mixed paper,2019-2020,383.24,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2019-2020,296.02,0
Operational,Recyclable cardboard,2019-2020,493.13,0
Operational,"E-waste, lamps, bulbs and batteries",2019-2020,82.38,0.16
Operational,Wood waste (primarily non-construction),2019-2020,227.51,16.18
Operational,Other recyclables,2019-2020,48.13,2.61
Operational,Landscaping green waste,2019-2020,440,0
Operational,Non-recyclable,2019-2020,4.49,3303.78
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2019-2020,172.61,0
C&D,"Other construction waste (UBCPT, privately contracted)",2019-2020,368,258
Overall,Overall,2019-2020,3130.51,3580.72
Operational,"Organics - food, compostable packaging",2020-2021,240,0
Operational,Recyclable mixed paper,2020-2021,184.26,0
Operational,"Recyclable & returnable containers - cans, bottles/glass, metal, plastic",2020-2021,108.8,0
Operational,Recyclable cardboard,2020-2021,219.97,0
Operational,"E-waste, lamps, bulbs and batteries",2020-2021,50.92,0.1
Operational,Wood waste (primarily non-construction),2020-2021,123.03,61.17
Operational,Other recyclables,2020-2021,35.1,0.61
Operational,Landscaping green waste,2020-2021,569,0
Operational,Non-recyclable,2020-2021,2.24,1926.18
C&D,"Construction waste managed by Building Operations (metal, gypsum, concrete etc)",2020-2021,118.64,0
C&D,"Other construction waste (UBCPT, privately contracted)",2020-2021,795,200
Overall,Overall,2020-2021,2446.95,2188.06
