Aggregated category,Individual categories,Year,Tonnes generated,Tonnes recycled,Tonnes disposed
Other recyclables,Soft plastic,2017-2018,0,0,0
Other recyclables,Furniture/mixed waste,2017-2018,0,0,0
Other recyclables,Mattresses - Other Recyclers,2017-2018,0,0,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2017-2018,18.73,18.73,0
Other recyclables,Small appliances,2017-2018,0,0,0
Other recyclables,Large appliances,2017-2018,0,0,0
Other recyclables,Tires,2017-2018,3,3,0
Other recyclables,Cooking Oil,2017-2018,12.32,12.32,0
Other recyclables,Lab glass,2017-2018,0.33,0.33,0
Non-recyclables,Garbage,2017-2018,3029,0,3029
Non-recyclables,General refuse - Cascades,2017-2018,0.1,0,0.1
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2017-2018,48.3,0,48.3
Non-recyclables,Delisted Waste,2017-2018,25.7,0,25.7
Non-recyclables,Ash from BRDF,2017-2018,37.23,0,37.23
Non-recyclables,"Paint, oil, silver recovery, solvent recovery",2017-2018,6.5,6.5,0
Non-recyclables,Animal waste and bedding,2017-2018,126.98,0,126.98
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2016-2017,849,798.06,50.94
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2016-2017,52,52,0
Paper,Mixed Paper,2016-2017,167.86,167.86,0
Paper,Mixed OPF (clean office paper),2016-2017,236.38,236.38,0
Paper,Shredded,2016-2017,52.23,52.23,0
Recyclable containers,Rigid Mixed Containers,2016-2017,239.21,239.21,0
Recyclable cardboard,Corrugated Containers,2016-2017,455.75,455.75,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2016-2017,12.46,12.46,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2016-2017,52.8,52.8,0
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2016-2017,7,7,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2016-2017,6.12,6.03,0.09
"E-waste, lamps, bulbs and batteries",Batteries,2016-2017,6.9,6.9,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2016-2017,378.11,292.72,85.39
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2016-2017,183.21,57.02,126.19
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2016-2017,5.43,5.43,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2016-2017,143.51,143.51,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2016-2017,0,0,0
Other recyclables,Styrofoam,2016-2017,4.26,4.26,0
Other recyclables,Soft plastic,2016-2017,0,0,0
Other recyclables,Furniture/mixed waste,2016-2017,0,0,0
Other recyclables,Mattresses - Other Recyclers,2016-2017,2.65,0,2.65
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2016-2017,20.43,20.43,0
Other recyclables,Small appliances,2016-2017,0,0,0
Other recyclables,Large appliances,2016-2017,0,0,0
Other recyclables,Tires,2016-2017,3.38,0,3.38
Non-recyclables,Garbage,2016-2017,2915.6,0,2915.6
Non-recyclables,General refuse - Cascades,2016-2017,0.15,0,0.15
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2016-2017,51.3,0,51.3
Non-recyclables,Delisted Waste,2016-2017,26.67,0,26.67
Non-recyclables,Ash from BRDF,2016-2017,82.1,0,82.1
Non-recyclables,"Paint, oil, silver recovery, solvent recovery",2016-2017,9.6,9.6,0
Non-recyclables,Animal waste and bedding,2016-2017,111.74,0,111.74
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2015-2016,845.46,811.65,33.82
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2015-2016,110.86,110.86,0
Paper,Mixed Paper,2015-2016,137.19,137.19,0
Paper,Mixed OPF (clean office paper),2015-2016,297.32,297.32,0
Paper,Shredded,2015-2016,37.3,37.3,0
Recyclable containers,Rigid Mixed Containers,2015-2016,212.87,212.87,0
Recyclable cardboard,Corrugated Containers,2015-2016,438.07,438.07,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2015-2016,29.42,29.42,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2015-2016,40.78,40.78,0
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2015-2016,4.64,4.64,0
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2015-2016,6.73,6.66,0.07
"E-waste, lamps, bulbs and batteries",Batteries,2015-2016,8.15,8.15,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2015-2016,295.02,191.76,103.26
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2015-2016,95.71,19.14,76.57
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2015-2016,4.02,4.02,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2015-2016,91.44,91.44,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2015-2016,662.37,662.37,0
Other recyclables,Styrofoam,2015-2016,1.91,1.91,0
Other recyclables,Soft plastic,2015-2016,0,0,0
Other recyclables,Furniture/mixed waste,2015-2016,0,0,0
Other recyclables,Mattresses - Other Recyclers,2015-2016,0,0,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2015-2016,68.08,68.08,0
Other recyclables,Small appliances,2015-2016,0,0,0
Other recyclables,Large appliances,2015-2016,0,0,0
Other recyclables,Tires,2015-2016,0,0,0
Non-recyclables,Garbage,2015-2016,2746.42,0,2746.42
Non-recyclables,General refuse - Cascades,2015-2016,1.08,0,1.08
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2015-2016,50.79,22.86,27.93
Non-recyclables,Delisted Waste,2015-2016,26.5,0,26.5
Non-recyclables,Ash from BRDF,2015-2016,59.87,0,59.87
Non-recyclables,Other,2015-2016,0,0,0
Non-recyclables,Animal waste and bedding,2015-2016,112.03,0,112.03
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2014-2015,589,547.77,41.23
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2014-2015,535.61,535.61,0
Paper,Mixed Paper,2014-2015,145.73,145.73,0
Paper,Mixed OPF (clean office paper),2014-2015,305.96,305.96,0
Paper,Shredded,2014-2015,37.77,37.77,0
Recyclable containers,Rigid Mixed Containers,2014-2015,180.09,180.09,0
Recyclable cardboard,Corrugated Containers,2014-2015,416.55,416.55,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2014-2015,41.3,41.3,0
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2014-2015,29.9,27.81,2.09
"E-waste, lamps, bulbs and batteries",E-waste - Non-Building Operations Mixed E-waste,2014-2015,15,13.5,1.5
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2014-2015,6.3,6.3,0
"E-waste, lamps, bulbs and batteries",Batteries,2014-2015,10.26,10.26,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2014-2015,367.7,240.48,127.22
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2014-2015,89.2,17.84,71.36
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2014-2015,6.68,6.68,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2014-2015,25.62,25.62,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2014-2015,0,0,0
Other recyclables,Styrofoam,2014-2015,1.31,0,1.31
Other recyclables,Soft plastic,2014-2015,0,0,0
Other recyclables,Furniture/mixed waste,2014-2015,0,0,0
Other recyclables,Mattresses - Other Recyclers,2014-2015,47.77,0,47.77
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2014-2015,38.64,38.64,0
Other recyclables,Small appliances,2014-2015,0,0,0
Other recyclables,Large appliances,2014-2015,0,0,0
Other recyclables,Tires,2014-2015,4.13,4.13,0
Non-recyclables,Garbage,2014-2015,3058.11,0,3058.11
Non-recyclables,General refuse - Cascades,2014-2015,2.68,0,2.68
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2014-2015,53.89,0,53.89
Non-recyclables,Ash from BRDF,2014-2015,78.7,0,78.7
Non-recyclables,Other,2014-2015,0,0,0
Non-recyclables,Animal waste and bedding,2014-2015,114,0,114
"Organics - food, compostable packaging, leaves & yard waste",Food Scraps with Soiled Paper,2013-2014,510,459,51
"Organics - food, compostable packaging, leaves & yard waste",Leaves and Yard Waste,2013-2014,100,100,0
Paper,Mixed Paper,2013-2014,149,149,0
Paper,Mixed OPF (clean office paper),2013-2014,363.84,363.84,0
Paper,Shredded,2013-2014,48.52,48.52,0
Recyclable containers,Rigid Mixed Containers,2013-2014,161.25,161.25,0
Recyclable cardboard,Corrugated Containers,2013-2014,447.7,447.7,0
"E-waste, lamps, bulbs and batteries",E-waste - Monitors and Computers,2013-2014,13,12.61,0.39
"E-waste, lamps, bulbs and batteries",E-waste - Peripherals & Other Electronics,2013-2014,9.37,9.09,0.28
"E-waste, lamps, bulbs and batteries",Lamps & bulbs,2013-2014,5.87,5.87,0
"E-waste, lamps, bulbs and batteries",Batteries,2013-2014,8.06,8.06,0
"Construction materials including wood, gypsum, metal & concrete",Grades 1&2 Wood,2013-2014,516,387,129
"Construction materials including wood, gypsum, metal & concrete",Grade 3 Wood,2013-2014,37,7.4,29.6
"Construction materials including wood, gypsum, metal & concrete",Gypsum,2013-2014,14.99,14.99,0
"Construction materials including wood, gypsum, metal & concrete",Metal,2013-2014,167.02,167.02,0
"Construction materials including wood, gypsum, metal & concrete",Concrete,2013-2014,1450,1450,0
Other recyclables,Styrofoam,2013-2014,1.63,1.63,0
Other recyclables,Soft plastic,2013-2014,0,0,0
Other recyclables,Furniture/mixed waste,2013-2014,0,0,0
Other recyclables,Mattresses - Other Recyclers,2013-2014,0,0,0
Other recyclables,Mattresses - Canadian Mattress Recycling Inc.,2013-2014,37.77,37.77,0
Other recyclables,Small appliances,2013-2014,0,0,0
Other recyclables,Large appliances,2013-2014,0,0,0
Other recyclables,Tires,2013-2014,0,0,0
Non-recyclables,Garbage,2013-2014,2891.38,0,2891.38
Non-recyclables,General refuse - Cascades,2013-2014,0.55,0,0.55
Non-recyclables,"Biohazardous, lab, chemical, pharma, solvent",2013-2014,63.7,0,63.7
Non-recyclables,Ash from BRDF,2013-2014,65.29,0,65.29
Non-recyclables,Animal waste and bedding,2013-2014,76,0,76
